Gene_ID	Annotation
C1G04270.1	GO:0009506
C1G04270.1	GO:0005774
C1G04270.1	GO:0005774
C1G04270.1	GO:0005774
C1G04270.1	GO:0005886
C1G04270.1	GO:0022626
C1G04270.1	GO:0022626
C1G04270.1	GO:0022626
C1G04270.1	GO:0022626
C1G04270.1	GO:0022626
C1G04270.1	GO:0005829
C1G04270.1	GO:0022626
C1G04280.1	GO:0016020
C1G04280.1	GO:0005634
C1G04290.1	GO:0005777
C1G04290.1	GO:0005777
C1G04300.3	GO:0005634
C1G04310.1	GO:0005576
C1G04330.1	GO:0009507
C1G04340.1	GO:0009507
C1G04350.1	GO:0005737
C1G04360.1	GO:0005634
C1G04370.1	GO:0005634
C1G04380.1	GO:0005737
C1G04390.1	GO:0009507
C1G04400.2	GO:0005773
C1G04400.2	GO:0005773
C1G04400.2	GO:0005634
C1G04410.1	GO:0009570
C1G04410.1	GO:0009570
C1G04410.1	GO:0009570
C1G04410.1	GO:0005773
C1G04410.1	GO:0048046
C1G04410.1	GO:0005774
C1G04410.1	GO:0009570
C1G04410.1	GO:0009570
C1G04410.1	GO:0009570
C1G04410.1	GO:0009651
C1G04410.1	GO:0009651
C1G04410.1	GO:0016020
C1G04410.1	GO:0005886
C1G04410.1	GO:0005774
C1G04410.1	GO:0005886
C1G04410.1	GO:0009507
C1G04410.1	GO:0009506
C1G04410.1	GO:0009570
C1G04410.1	GO:0005773
C1G04410.1	GO:0005634
C1G04410.1	GO:0046686
C1G04410.1	GO:0005737
C1G04410.1	GO:0005774
C1G04410.1	GO:0009570
C1G04420.1	GO:0009941
C1G04420.1	GO:0009570
C1G04420.1	GO:0009570
C1G04420.1	GO:0009941
C1G04420.1	GO:0009941
C1G04420.1	GO:0009507
C1G04420.1	GO:0009570
C1G04420.1	GO:0009570
C1G04420.1	GO:0009570
C1G04420.1	GO:0009570
C1G04420.1	GO:0009570
C1G04420.1	GO:0009941
C1G04420.1	GO:0009570
C1G04420.1	GO:0009570
C1G04420.1	GO:0009570
C1G04420.1	GO:0009570
C1G04420.1	GO:0009570
C1G04420.1	GO:0009507
C1G04430.1	GO:0005774
C1G04430.1	GO:0005774
C1G04430.1	GO:0005794
C1G04430.1	GO:0005774
C1G04430.1	GO:0005794
C1G04440.1	GO:0005737
C1G04450.1	GO:0005634
C1G04480.1	GO:0009507
C1G04490.1	GO:0005634
C1G04500.1	GO:0005634
C1G04510.1	GO:0046686
C1G04510.1	GO:0005730
C1G04510.1	GO:0005634
C1G04510.1	GO:0005730
C1G04520.1	GO:0005576
C1G04530.1	GO:0005634
C1G04540.1	GO:0016020
C1G04550.2	GO:0005634
C1G04555.1	GO:0005739
C1G04560.1	GO:0005576
C1G04580.1	GO:0005634
C1G04590.2	GO:0009507
C1G04600.1	GO:0005794
C1G04610.1	GO:0005634
C1G04620.1	GO:0009507
C1G04630.1	GO:0009507
C1G04635.1	GO:0005634
C1G04635.1	GO:0005773
C1G04635.1	GO:0005773
C1G04640.1	GO:0005737
C1G04680.1	GO:0005576
C1G04680.1	GO:0016020
C1G04690.1	GO:0005737
C1G04690.1	GO:0009506
C1G04690.1	GO:0005886
C1G04690.1	GO:0005886
C1G04690.1	GO:0016020
C1G04700.1	GO:0005886
C1G04710.1	GO:0005773
C1G04710.1	GO:0005739
C1G04710.1	GO:0005777
C1G04710.1	GO:0005777
C1G04710.1	GO:0005773
C1G04730.1	GO:0005634
C1G04750.1	GO:0005886
C1G04750.1	GO:0005768
C1G04750.1	GO:0005768
C1G04750.1	GO:0009504
C1G04750.1	GO:0005886
C1G04750.1	GO:0009504
C1G04750.1	GO:0009506
C1G04760.1	GO:0009507
C1G04778.1	GO:0005634
C1G04780.1	GO:0005634
C1G04780.1	GO:0005886
C1G04790.1	GO:0005634
C1G04810.1	GO:0005829
C1G04810.1	GO:0009507
C1G04810.1	GO:0005886
C1G04820.1	GO:0009570
C1G04820.1	GO:0046686
C1G04820.1	GO:0005886
C1G04820.1	GO:0005886
C1G04820.1	GO:0005618
C1G04820.1	GO:0005737
C1G04820.1	GO:0009570
C1G04820.1	GO:0009570
C1G04820.1	GO:0005774
C1G04820.1	GO:0009507
C1G04820.1	GO:0005774
C1G04820.1	GO:0005774
C1G04820.1	GO:0009570
C1G04830.2	GO:0005737
C1G04840.1	GO:0009507
C1G04850.1	GO:0005829
C1G04850.1	GO:0005737
C1G04860.1	GO:0009507
C1G04860.1	GO:0005634
C1G04870.2	GO:0035242
C1G04870.2	GO:0008469
C1G04870.2	GO:0008469
C1G04870.2	GO:0019919
C1G04870.2	GO:0035241
C1G04870.2	GO:0016277
C1G04870.2	GO:0019919
C1G04870.2	GO:0019919
C1G04870.2	GO:0035241
C1G04870.2	GO:0005829
C1G04870.2	GO:0005634
C1G04870.2	GO:0035242
C1G04870.2	GO:0016277
C1G04870.2	GO:0010228
C1G04880.1	GO:0005634
C1G04890.1	GO:0005737
C1G04900.1	GO:0005739
C1G04910.1	GO:0005739
C1G04910.1	GO:0005794
C1G04920.1	GO:0005634
C1G04920.1	GO:0005794
C1G04930.2	GO:0005634
C1G04940.1	GO:0009507
C1G04945.3	GO:0009507
C1G04950.1	GO:0005634
C1G04960.2	GO:0005576
C1G04970.1	GO:0005773
C1G04970.1	GO:0005774
C1G04970.1	GO:0005576
C1G04970.1	GO:0005774
C1G04970.1	GO:0005773
C1G04970.1	GO:0005774
C1G04980.1	GO:0009507
C1G04985.1	GO:0005739
C1G04990.2	GO:0005634
C1G05000.2	GO:0005737
C1G05010.1	GO:0005737
C1G05020.1	GO:0005634
C1G05030.1	GO:0005886
C1G05040.1	GO:0005634
C1G05055.1	GO:0005634
C1G05060.1	GO:0009507
C1G05065.1	GO:0005739
C1G05080.1	GO:0005634
C1G05085.1	GO:0005739
C1G05090.1	GO:0005634
C1G05120.1	GO:0005634
C1G05140.1	GO:0009507
C1G05140.1	GO:0005886
C1G05150.1	GO:0005886
C1G05150.1	GO:0005886
C1G05150.1	GO:0005886
C1G05150.1	GO:0005634
C1G05150.1	GO:0009506
C1G05170.2	GO:0005794
C1G05170.2	GO:0005794
C1G05180.1	GO:0005829
C1G05180.1	GO:0005886
C1G05190.1	GO:0009570
C1G05190.1	GO:0009941
C1G05190.1	GO:0009507
C1G05190.1	GO:0009570
C1G05190.1	GO:0009941
C1G05190.1	GO:0009507
C1G05190.1	GO:0009570
C1G05190.1	GO:0009941
C1G05190.1	GO:0009570
C1G05190.1	GO:0009570
C1G05190.1	GO:0009941
C1G05190.1	GO:0009570
C1G05190.1	GO:0016020
C1G05190.1	GO:0009507
C1G05190.1	GO:0009570
C1G05190.1	GO:0009941
C1G05190.1	GO:0009570
C1G05190.1	GO:0009570
